"ID","area_code","area_name","observe_time","data_time","rain","temperature","humidity","cloud_amount"
129083,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,14.7600,79.5600,0.0000
129084,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,14.7000,80.7600,0.0000
129085,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,14.2900,81.3300,NULL
129086,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,14.6600,78.9900,0.0000
129087,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',NULL,14.6000,79.6000,NULL
129088,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,14.0400,96.1700,57.7700
129089,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,NULL,96.1700,57.7700
129090,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,14.1300,95.0400,61.8100
129091,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,13.7100,98.2300,92.7100
129092,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,NULL,96.3400,94.9500
129093,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',NULL,14.0200,NULL,NULL
129094,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,14.4100,94.8900,99.0500
129095,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',NULL,14.5000,79.4700,0.0000
129096,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',NULL,14.5000,79.4700,0.0000
129097,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',NULL,14.4500,NULL,0.0000
129098,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',NULL,14.7600,82.7500,0.0000
129099,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',NULL,14.4100,82.5500,0.0000
129100,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',0.0000,NULL,NULL,0.0000
129101,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',0.0000,14.5800,NULL,NULL
129102,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',0.0000,15.2200,78.4100,NULL
129103,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',NULL,15.2200,78.4100,0.0000
129104,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',0.0000,15.2300,76.7100,0.0000
129105,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',0.0000,15.6400,83.5200,NULL
129106,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',0.1900,15.2700,84.4400,0.0000
129107,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',0.0000,15.2600,NULL,0.0000
129108,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',0.0000,15.3000,78.8200,NULL
129109,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 08:00:00.000000',NULL,16.4000,NULL,NULL
129110,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 08:00:00.000000',0.0000,16.4000,84.0500,NULL
129111,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 08:00:00.000000',0.0000,16.6800,NULL,95.5400
129112,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 08:00:00.000000',0.0000,15.0300,NULL,NULL
129113,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 08:00:00.000000',0.0000,NULL,85.3600,97.9000
129114,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 08:00:00.000000',0.0000,16.8000,78.7800,95.5500
129115,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 08:00:00.000000',NULL,15.9800,87.9100,89.6800
129116,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 09:00:00.000000',0.0000,19.9400,NULL,NULL
129117,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 09:00:00.000000',0.0000,19.9400,80.5000,NULL
129118,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 09:00:00.000000',0.0000,NULL,79.8000,0.0000
129119,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 09:00:00.000000',0.0000,19.6800,83.3400,0.0000
129120,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 09:00:00.000000',0.0000,19.1500,86.8300,0.0000
129121,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 09:00:00.000000',0.0000,NULL,78.3200,0.0000
129122,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 09:00:00.000000',NULL,19.0800,80.7000,0.0000
129123,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 10:00:00.000000',NULL,20.6200,80.4100,NULL
129124,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 10:00:00.000000',0.0000,20.6200,80.4100,0.0200
129125,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 10:00:00.000000',0.0000,21.2400,NULL,0.0100
129126,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 10:00:00.000000',NULL,19.5400,83.0400,4.1600
129127,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 10:00:00.000000',NULL,NULL,87.9200,1.7900
129128,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 10:00:00.000000',0.0000,NULL,77.8100,NULL
129129,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 10:00:00.000000',0.0000,NULL,80.0100,2.8500
129130,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 11:00:00.000000',0.0000,20.8500,51.9600,NULL
129131,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 11:00:00.000000',NULL,20.8500,51.9600,100.0000
129132,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 11:00:00.000000',0.0000,NULL,47.2800,100.0000
129133,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 11:00:00.000000',0.0000,19.6800,NULL,100.0000
129134,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 11:00:00.000000',0.0000,20.1200,NULL,NULL
129135,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 11:00:00.000000',0.0000,21.5200,43.8500,NULL
129136,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 11:00:00.000000',0.0000,20.9900,NULL,100.0000
129137,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 12:00:00.000000',0.1900,NULL,89.8900,17.4300
129138,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 12:00:00.000000',0.1900,19.5100,89.8900,17.4300
129139,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 12:00:00.000000',NULL,NULL,88.9900,12.7900
129140,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 12:00:00.000000',0.2600,18.8800,88.9100,14.0300
129141,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 12:00:00.000000',0.9700,19.0400,94.0200,36.0400
129142,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 12:00:00.000000',0.1000,20.0000,84.9900,6.7300
129143,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 12:00:00.000000',0.1300,NULL,NULL,5.9100
129144,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 13:00:00.000000',0.2700,17.4700,89.3800,10.0800
129145,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 13:00:00.000000',0.2700,17.4700,89.3800,10.0800
129146,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 13:00:00.000000',0.2000,NULL,89.0300,NULL
129147,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 13:00:00.000000',0.3700,NULL,92.7100,NULL
129148,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 13:00:00.000000',1.3200,NULL,94.3000,14.3500
129149,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 13:00:00.000000',NULL,17.4000,87.9900,6.0400
129150,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 13:00:00.000000',NULL,17.2900,92.3000,45.1400
129151,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',NULL,NULL,60.4100,NULL
129152,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',0.2600,NULL,60.4100,NULL
129153,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',0.2300,20.9100,54.2200,100.0000
129154,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',NULL,19.6800,70.5800,100.0000
129155,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',0.9700,19.1700,NULL,NULL
129156,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',NULL,22.0400,46.0700,100.0000
129157,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',0.3500,NULL,59.2900,100.0000
129158,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 15:00:00.000000',NULL,16.4700,96.2700,NULL
129159,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 15:00:00.000000',0.2300,16.4700,NULL,NULL
129160,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 15:00:00.000000',0.2400,16.2900,95.5200,87.7400
129161,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 15:00:00.000000',0.2600,16.8500,95.9000,NULL
129162,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 15:00:00.000000',0.5100,16.9900,NULL,NULL
129163,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 15:00:00.000000',NULL,15.9000,95.4100,65.4800
129164,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 15:00:00.000000',0.5100,16.5900,94.1400,90.8100
129165,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 16:00:00.000000',0.3100,NULL,94.6800,NULL
129166,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 16:00:00.000000',0.3100,16.3200,NULL,72.3500
129167,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 16:00:00.000000',0.3500,16.1200,93.9700,51.8900
129168,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 16:00:00.000000',NULL,NULL,95.8500,85.5100
129169,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 16:00:00.000000',0.1700,16.5200,97.1900,91.5000
129170,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 16:00:00.000000',0.3700,15.8100,93.6900,48.9800
129171,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 16:00:00.000000',0.8400,16.5800,97.5300,92.5800
129172,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 17:00:00.000000',0.9900,19.2500,87.3300,NULL
129173,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 17:00:00.000000',0.9900,NULL,87.3300,100.0000
129174,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 17:00:00.000000',0.9700,NULL,86.6800,100.0000
129175,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 17:00:00.000000',NULL,18.6900,91.7800,100.0000
129176,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 17:00:00.000000',0.5900,18.8600,87.4500,100.0000
129177,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 17:00:00.000000',NULL,20.1100,83.2000,NULL
129178,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 17:00:00.000000',2.2500,NULL,89.0600,100.0000
129179,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 18:00:00.000000',1.7800,NULL,97.3200,47.8700
129180,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 18:00:00.000000',1.7800,16.1400,NULL,NULL
129181,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 18:00:00.000000',1.6900,16.0900,96.0500,NULL
129182,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 18:00:00.000000',2.0400,16.6800,99.8400,NULL
129183,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 18:00:00.000000',1.1500,16.4000,NULL,NULL
129184,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 18:00:00.000000',1.7000,NULL,NULL,68.9800
129185,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 18:00:00.000000',NULL,16.5700,97.7600,55.4300
129186,'330800','衢州市','2023-11-09 08:00:00.000000','2023-11-09 19:00:00.000000',2.4400,16.1900,99.1600,NULL
129187,'330802','柯城区','2023-11-09 08:00:00.000000','2023-11-09 19:00:00.000000',2.4400,16.1900,99.1600,NULL
129188,'330803','衢江区','2023-11-09 08:00:00.000000','2023-11-09 19:00:00.000000',2.3100,16.1200,99.0200,NULL
129189,'330822','常山县','2023-11-09 08:00:00.000000','2023-11-09 19:00:00.000000',2.7700,16.7000,NULL,NULL
129190,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 19:00:00.000000',NULL,NULL,99.4300,93.2100
129191,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 19:00:00.000000',NULL,16.1200,98.8300,73.2700
129192,'330881','江山市','2023-11-09 08:00:00.000000','2023-11-09 19:00:00.000000',5.0200,16.6500,NULL,62.6300
129193,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,17.4200,87.0300,100.0000
129194,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,17.4200,87.0300,NULL
129195,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,NULL,85.2300,100.0000
129196,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,NULL,93.1200,100.0000
129197,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,16.3300,92.4400,100.0000
129198,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,NULL,NULL,NULL
129199,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-09 20:00:00.000000',0.0000,17.1200,86.9300,100.0000
129200,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-09 21:00:00.000000',0.0000,16.5700,NULL,81.5200
129201,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-09 21:00:00.000000',0.0000,16.5700,NULL,81.5200
129202,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-09 21:00:00.000000',0.0000,16.5400,98.7200,62.0500
129203,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-09 21:00:00.000000',0.0000,16.8400,99.3600,95.3600
129204,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-09 21:00:00.000000',0.0000,16.4100,NULL,98.4000
129205,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-09 21:00:00.000000',0.0000,16.6800,98.4900,50.8100
129206,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-09 21:00:00.000000',NULL,NULL,98.5400,81.5700
129207,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-09 22:00:00.000000',0.0000,NULL,99.7900,91.3600
129208,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-09 22:00:00.000000',NULL,NULL,99.7900,91.3600
129209,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-09 22:00:00.000000',0.0000,16.6300,99.7800,83.5100
129210,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-09 22:00:00.000000',0.0000,16.8400,99.4600,92.0800
129211,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-09 22:00:00.000000',NULL,16.4100,98.9800,85.8100
129212,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-09 22:00:00.000000',0.0000,16.5900,99.5000,84.8200
129213,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-09 22:00:00.000000',0.0000,16.8200,99.4600,94.0000
129214,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',0.0000,17.1700,90.4700,100.0000
129215,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',0.0000,17.1700,90.4700,NULL
129216,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',0.0000,17.5800,NULL,100.0000
129217,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',0.0000,NULL,96.2200,99.9800
129218,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',NULL,16.2700,NULL,99.3700
129219,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',0.0000,17.6000,89.8100,NULL
129220,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-09 23:00:00.000000',0.0000,16.7000,93.6400,100.0000
129221,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 00:00:00.000000',NULL,16.9100,99.8600,99.2000
129222,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 00:00:00.000000',0.9000,16.9100,NULL,99.2000
129223,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 00:00:00.000000',NULL,16.8500,99.9500,98.5900
129224,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 00:00:00.000000',0.6600,16.9500,99.7900,NULL
129225,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 00:00:00.000000',0.6000,NULL,NULL,91.3200
129226,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-10 00:00:00.000000',1.0700,16.8800,NULL,99.6900
129227,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-10 00:00:00.000000',0.9400,NULL,99.8400,99.7400
129228,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 01:00:00.000000',0.0000,NULL,99.6400,98.4000
129229,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 01:00:00.000000',NULL,16.8800,99.6400,98.4000
129230,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 01:00:00.000000',0.2000,16.8600,NULL,97.1600
129231,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 01:00:00.000000',0.0000,NULL,NULL,93.7500
129232,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 01:00:00.000000',0.0000,16.5400,99.7100,89.9200
129233,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-10 01:00:00.000000',NULL,16.9000,99.9600,100.0000
129234,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-10 01:00:00.000000',0.5000,16.8500,NULL,96.7400
129235,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',0.0000,16.8300,88.7700,92.0200
129236,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',NULL,16.8300,NULL,92.0200
129237,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',0.0000,17.3000,84.7500,97.7500
129238,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',0.0000,NULL,97.1800,NULL
129239,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',NULL,16.0900,90.9100,96.5400
129240,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',0.2100,17.0800,80.3600,100.0000
129241,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-10 02:00:00.000000',0.2800,16.1800,94.1500,86.6900
129242,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 03:00:00.000000',NULL,NULL,99.9900,NULL
129243,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 03:00:00.000000',0.0000,NULL,99.9900,NULL
129244,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 03:00:00.000000',0.0000,16.8900,NULL,NULL
129245,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 03:00:00.000000',NULL,NULL,NULL,NULL
129246,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 03:00:00.000000',0.0000,16.4800,99.3200,NULL
129247,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-10 03:00:00.000000',0.0000,16.9200,NULL,98.7500
129248,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-10 03:00:00.000000',0.0000,NULL,NULL,99.5500
129249,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 04:00:00.000000',0.0000,16.8900,100.0000,NULL
129250,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 04:00:00.000000',NULL,16.8900,100.0000,99.9800
129251,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 04:00:00.000000',0.0000,16.9000,100.0000,99.9300
129252,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 04:00:00.000000',0.0000,17.0300,99.7900,97.0900
129253,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 04:00:00.000000',NULL,16.3000,99.3700,NULL
129254,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-10 04:00:00.000000',NULL,NULL,NULL,97.4000
129255,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-10 04:00:00.000000',0.0000,NULL,100.0000,NULL
129256,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,NULL,NULL,100.0000
129257,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',NULL,16.6000,76.2200,100.0000
129258,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',NULL,16.7100,74.5600,100.0000
129259,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,NULL,93.7100,100.0000
129260,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',NULL,15.9900,79.6000,NULL
129261,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,16.4100,77.1300,NULL
129262,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-10 05:00:00.000000',0.0000,15.8800,NULL,100.0000
129263,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 06:00:00.000000',0.1000,16.7100,99.5900,93.8000
129264,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 06:00:00.000000',0.1000,16.7100,99.5900,NULL
129265,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 06:00:00.000000',0.0000,NULL,NULL,86.4800
129266,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 06:00:00.000000',NULL,17.0500,99.8800,99.8400
129267,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 06:00:00.000000',0.2100,15.9900,NULL,NULL
129268,'330825','龙游县','2023-11-09 20:00:00.000000','2023-11-10 06:00:00.000000',0.1100,16.2500,99.2700,NULL
129269,'330881','江山市','2023-11-09 20:00:00.000000','2023-11-10 06:00:00.000000',NULL,16.8500,99.5500,97.5300
129270,'330800','衢州市','2023-11-09 20:00:00.000000','2023-11-10 07:00:00.000000',0.1400,NULL,98.0200,58.0700
129271,'330802','柯城区','2023-11-09 20:00:00.000000','2023-11-10 07:00:00.000000',0.1400,NULL,NULL,58.0700
129272,'330803','衢江区','2023-11-09 20:00:00.000000','2023-11-10 07:00:00.000000',0.1700,NULL,98.3500,59.9200
129273,'330822','常山县','2023-11-09 20:00:00.000000','2023-11-10 07:00:00.000000',0.0000,16.9200,NULL,99.2600
129274,'330824','开化县','2023-11-09 20:00:00.000000','2023-11-10 07:00:00.000000',NULL,15.7900,NULL,95.7300
